,age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
0,55.0,Married,12.0,72.0,$50 - $74,36.2,Luxury,Did not complete high school,23.0,No,More than 15,Highly satisfied,Female,4.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1,56.0,Unmarried,29.0,153.0,$75+,76.9,Luxury,Did not complete high school,35.0,No,More than 15,Somewhat satisfied,Male,1.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,28.0,Married,9.0,28.0,$25 - $49,13.700000000000001,Economy,Some college,4.0,No,Less than 5,Neutral,Female,3.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
3,24.0,Married,4.0,26.0,$25 - $49,12.5,Economy,College degree,0.0,No,Less than 5,Highly dissatisfied,Male,3.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
4,25.0,Unmarried,2.0,23.0,Under $25,11.3,Economy,High school degree,5.0,No,5 to 15,Somewhat dissatisfied,Male,2.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
5,45.0,Married,9.0,76.0,$75+,37.2,Luxury,Some college,13.0,No,5 to 15,Somewhat dissatisfied,Male,2.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
6,42.0,Unmarried,19.0,40.0,$25 - $49,19.8,Standard,Some college,10.0,No,5 to 15,Somewhat dissatisfied,Male,1.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
7,35.0,Unmarried,15.0,57.0,$50 - $74,28.200000000000003,Standard,High school degree,1.0,No,Less than 5,Highly dissatisfied,Female,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
8,46.0,Unmarried,26.0,24.0,Under $25,12.200000000000001,Economy,Did not complete high school,11.0,No,5 to 15,Highly satisfied,Female,2.0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
9,34.0,Married,0.0,89.0,$75+,46.1,Luxury,Some college,12.0,No,5 to 15,Somewhat satisfied,Male,6.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
10,55.0,Married,17.0,72.0,$50 - $74,35.5,Luxury,Some college,2.0,No,Less than 5,Neutral,Female,2.0,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
11,28.0,Unmarried,3.0,24.0,Under $25,11.8,Economy,College degree,4.0,No,Less than 5,Highly satisfied,Male,1.0,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
12,31.0,Married,9.0,40.0,$25 - $49,21.3,Standard,College degree,0.0,No,Less than 5,Somewhat dissatisfied,Female,4.0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
13,42.0,Unmarried,8.0,137.0,$75+,68.9,Luxury,Some college,3.0,No,Less than 5,Highly dissatisfied,Female,1.0,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
14,35.0,Unmarried,8.0,70.0,$50 - $74,34.1,Luxury,Some college,9.0,No,5 to 15,Somewhat satisfied,Male,3.0,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
15,52.0,Married,24.0,159.0,$75+,78.9,Luxury,College degree,16.0,No,More than 15,Highly satisfied,Male,2.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
16,21.0,Married,1.0,37.0,$25 - $49,18.6,Standard,Some college,0.0,No,Less than 5,Highly dissatisfied,Male,7.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
17,32.0,Unmarried,0.0,28.0,$25 - $49,13.700000000000001,Economy,Did not complete high school,2.0,No,Less than 5,Somewhat satisfied,Female,2.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
18,42.0,Unmarried,9.0,109.0,$75+,54.7,Luxury,Some college,20.0,No,More than 15,Neutral,Female,1.0,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
19,40.0,Married,12.0,117.0,$75+,58.300000000000004,Luxury,High school degree,19.0,No,More than 15,Highly satisfied,Female,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
20,30.0,Unmarried,3.0,23.0,Under $25,11.8,Economy,Did not complete high school,3.0,No,Less than 5,Neutral,Male,1.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
